PadPlaneSubDivision 84 84 1 1 -42 -42
59 0 0 4.03 0.45 0 46 44 45 57 58 54 52 53 
58 0 0 4.03 0.55 0 44 45 40 59 63 52 53 48 
63 0 0 4.03 0.65 0 45 40 41 58 62 53 48 49 
62 0 0 4.03 0.75 0 40 41 63 48 49 
51 0 0 4.65 0.05 0 60 61 50 68 69 
50 0 0 4.65 0.15 0 60 61 56 51 55 68 69 64 
55 0 0 4.65 0.25 0 61 56 57 50 54 69 64 65 
54 0 0 4.65 0.35 0 56 57 59 55 52 64 65 67 
52 0 0 4.65 0.45 0 57 59 58 54 53 65 67 66 
53 0 0 4.65 0.55 0 59 58 63 52 48 67 66 71 
48 0 0 4.65 0.65 0 58 63 62 53 49 66 71 70 
49 0 0 4.65 0.75 0 63 62 48 71 70 
68 0 0 5.27 0.05 0 51 50 69 75 74 
69 0 0 5.27 0.15 0 51 50 55 68 64 75 74 79 
64 0 0 5.27 0.25 0 50 55 54 69 65 74 79 78 
65 0 0 5.27 0.35 0 55 54 52 64 67 79 78 76 
67 0 0 5.27 0.45 0 54 52 53 65 66 78 76 77 
66 0 0 5.27 0.55 0 52 53 48 67 71 76 77 72 
71 0 0 5.27 0.65 0 53 48 49 66 70 77 72 73 
70 0 0 5.27 0.75 0 48 49 71 72 73 
75 0 0 5.89 0.05 0 68 69 74 92 93 
74 0 0 5.89 0.15 0 68 69 64 75 79 92 93 88 
79 0 0 5.89 0.25 0 69 64 65 74 78 93 88 89 
78 0 0 5.89 0.35 0 64 65 67 79 76 88 89 91 
76 0 0 5.89 0.45 0 65 67 66 78 77 89 91 90 
77 0 0 5.89 0.55 0 67 66 71 76 72 91 90 95 
72 0 0 5.89 0.65 0 66 71 70 77 73 90 95 94 
73 0 0 5.89 0.75 0 71 70 72 95 94 
92 0 0 6.51 0.05 0 75 74 93 83 82 
93 0 0 6.51 0.15 0 75 74 79 92 88 83 82 87 
88 0 0 6.51 0.25 0 74 79 78 93 89 82 87 86 
89 0 0 6.51 0.35 0 79 78 76 88 91 87 86 84 
